X	C(X)	Mean of Collatz up to X
1	1	1
2	2	1.5
3	8	3.66666666666667
4	3	3.5
5	6	4
6	9	4.83333333333333
7	17	6.57142857142857
8	4	6.25
9	20	7.77777777777778
10	7	7.7
11	15	8.36363636363636
12	10	8.5
13	10	8.61538461538461
14	18	9.28571428571429
15	18	9.86666666666667
16	5	9.5625
17	13	9.76470588235294
18	21	10.3888888888889
19	21	10.9473684210526
20	8	10.8
21	8	10.6666666666667
22	16	10.9090909090909
23	16	11.1304347826087
24	11	11.125
25	24	11.64
26	11	11.6153846153846
27	112	15.3333333333333
28	19	15.4642857142857
29	19	15.5862068965517
30	19	15.7
31	107	18.6451612903226
32	6	18.25
33	27	18.5151515151515
34	14	18.3823529411765
35	14	18.2571428571429
36	22	18.3611111111111
37	22	18.4594594594595
38	22	18.5526315789474
39	35	18.974358974359
40	9	18.725
41	110	20.9512195121951
42	9	20.6666666666667
43	30	20.8837209302326
44	17	20.7954545454545
45	17	20.7111111111111
46	17	20.6304347826087
47	105	22.4255319148936
48	12	22.2083333333333
49	25	22.265306122449
50	25	22.32
51	25	22.3725490196078
52	12	22.1730769230769
53	12	21.9811320754717
54	113	23.6666666666667
55	113	25.2909090909091
56	20	25.1964285714286
57	33	25.3333333333333
58	20	25.2413793103448
59	33	25.3728813559322
60	20	25.2833333333333
61	20	25.1967213114754
62	108	26.5322580645161
63	108	27.8253968253968
64	7	27.5
65	28	27.5076923076923
66	28	27.5151515151515
67	28	27.5223880597015
68	15	27.3382352941176
69	15	27.1594202898551
70	15	26.9857142857143
71	103	28.056338028169
72	23	27.9861111111111
73	116	29.1917808219178
74	23	29.1081081081081
75	15	28.92
76	23	28.8421052631579
77	23	28.7662337662338
78	36	28.8589743589744
79	36	28.9493670886076
80	10	28.7125
81	23	28.641975308642
82	111	29.6463414634146
83	111	30.6265060240964
84	10	30.3809523809524
85	10	30.1411764705882
86	31	30.1511627906977
87	31	30.1609195402299
88	18	30.0227272727273
89	31	30.0337078651685
90	18	29.9
91	93	30.5934065934066
92	18	30.4565217391304
93	18	30.3225806451613
94	106	31.1276595744681
95	106	31.9157894736842
96	13	31.71875
97	119	32.6185567010309
98	26	32.5510204081633
99	26	32.4848484848485
100	26	32.42
101	26	32.3564356435644
102	26	32.2941176470588
103	88	32.8349514563107
104	13	32.6442307692308
105	39	32.7047619047619
106	13	32.5188679245283
107	101	33.1588785046729
108	114	33.9074074074074
109	114	34.6422018348624
110	114	35.3636363636364
111	70	35.6756756756757
112	21	35.5446428571429
113	13	35.3451327433628
114	34	35.3333333333333
115	34	35.3217391304348
116	21	35.198275862069
117	21	35.0769230769231
118	34	35.0677966101695
119	34	35.0588235294118
120	21	34.9416666666667
121	96	35.4462809917355
122	21	35.327868852459
123	47	35.4227642276423
124	109	36.0161290322581
125	109	36.6
126	109	37.1746031746032
127	47	37.251968503937
128	8	37.0234375
129	122	37.6821705426357
130	29	37.6153846153846
131	29	37.5496183206107
132	29	37.4848484848485
133	29	37.4210526315789
134	29	37.3582089552239
135	42	37.3925925925926
136	16	37.2352941176471
137	91	37.6277372262774
138	16	37.4710144927536
139	42	37.5035971223022
140	16	37.35
141	16	37.1985815602837
142	104	37.669014084507
143	104	38.1328671328671
144	24	38.0347222222222
145	117	38.5793103448276
146	117	39.1164383561644
147	117	39.6462585034014
148	24	39.5405405405405
149	24	39.4362416107383
150	16	39.28
151	16	39.1258278145695
152	24	39.0263157894737
153	37	39.0130718954248
154	24	38.9155844155844
155	86	39.2193548387097
156	37	39.2051282051282
157	37	39.1910828025478
158	37	39.1772151898734
159	55	39.2767295597484
160	11	39.1
161	99	39.472049689441
162	24	39.3765432098765
163	24	39.2822085889571
164	112	39.7256097560976
165	112	40.1636363636364
166	112	40.5963855421687
167	68	40.7604790419162
168	11	40.5833333333333
169	50	40.6390532544379
170	11	40.4647058823529
171	125	40.9590643274854
172	32	40.906976744186
173	32	40.8554913294798
174	32	40.8045977011494
175	81	41.0342857142857
176	19	40.9090909090909
177	32	40.8587570621469
178	32	40.8089887640449
179	32	40.7597765363128
180	19	40.6388888888889
181	19	40.5193370165746
182	94	40.8131868131868
183	94	41.103825136612
184	19	40.9836956521739
185	45	41.0054054054054
186	19	40.8870967741936
187	45	40.9090909090909
188	107	41.2606382978723
189	107	41.6084656084656
190	107	41.9526315789474
191	45	41.9685863874346
192	14	41.8229166666667
193	120	42.2279792746114
194	120	42.6288659793814
195	120	43.025641025641
196	27	42.9438775510204
197	27	42.8629441624365
198	27	42.7828282828283
199	120	43.1708542713568
200	27	43.09
201	19	42.9701492537313
202	27	42.8910891089109
203	40	42.8768472906404
204	27	42.7990196078431
205	27	42.7219512195122
206	89	42.9466019417476
207	89	43.1690821256039
208	14	43.0288461538462
209	40	43.0143540669856
210	40	43
